iter	Passed	Remaining
0	6	2599
1	12	2549
2	21	2840
3	30	3038
4	37	2946
5	45	3010
6	54	3049
7	63	3094
8	71	3120
9	80	3146
10	89	3148
11	97	3154
12	106	3164
13	115	3178
14	123	3165
15	132	3173
16	141	3196
17	150	3198
18	174	3497
19	182	3474
20	191	3453
21	199	3424
22	207	3406
23	216	3393
24	225	3385
25	233	3365
26	242	3349
27	251	3336
28	259	3326
29	268	3310
30	276	3293
31	285	3281
32	294	3275
33	303	3263
34	312	3256
35	321	3251
36	330	3245
37	339	3237
38	348	3229
39	358	3222
40	367	3216
41	375	3204
42	384	3190
43	392	3177
44	401	3169
45	410	3159
46	418	3146
47	427	3135
48	436	3127
49	445	3118
50	454	3107
51	464	3111
52	473	3099
53	481	3088
54	490	3079
55	499	3071
56	508	3061
57	518	3057
58	527	3051
59	536	3041
60	545	3034
61	555	3026
62	563	3014
63	572	3005
64	578	2980
65	587	2973
66	597	2968
67	606	2960
68	615	2950
69	624	2942
70	633	2935
71	642	2926
72	650	2914
73	659	2904
74	667	2894
75	676	2883
76	684	2872
77	692	2860
78	700	2848
79	709	2836
80	717	2825
81	725	2815
82	731	2792
83	740	2785
84	748	2775
85	757	2765
86	765	2755
87	774	2746
88	783	2739
89	792	2730
90	802	2725
91	811	2715
92	819	2704
93	828	2695
94	837	2687
95	846	2679
96	854	2670
97	863	2662
98	872	2651
99	880	2641
100	888	2631
101	897	2621
102	906	2613
103	914	2603
104	923	2594
105	931	2584
106	940	2576
107	949	2566
108	958	2558
109	966	2549
110	975	2539
111	984	2530
112	992	2521
113	1001	2511
114	1008	2500
115	1017	2490
116	1025	2479
117	1033	2470
118	1042	2460
119	1049	2449
120	1057	2439
121	1066	2429
122	1074	2418
123	1082	2410
124	1090	2400
125	1098	2389
126	1107	2380
127	1115	2371
128	1124	2362
129	1132	2352
130	1140	2342
131	1149	2332
132	1157	2323
133	1165	2314
134	1174	2304
135	1182	2295
136	1191	2286
137	1200	2278
138	1208	2269
139	1216	2259
140	1225	2250
141	1233	2241
142	1242	2232
143	1250	2223
144	1261	2218
145	1270	2209
146	1278	2200
147	1287	2191
148	1295	2182
149	1303	2173
150	1312	2163
151	1320	2155
152	1329	2146
153	1338	2137
154	1346	2128
155	1354	2119
156	1363	2110
157	1372	2101
158	1380	2092
159	1388	2082
160	1397	2074
161	1406	2066
162	1414	2057
163	1423	2047
164	1432	2039
165	1440	2030
166	1448	2021
167	1457	2012
168	1465	2002
169	1473	1993
170	1482	1985
171	1490	1975
172	1505	1975
173	1514	1967
174	1531	1968
175	1540	1960
176	1548	1951
177	1557	1941
178	1565	1932
179	1573	1923
180	1582	1914
181	1590	1905
182	1599	1897
183	1608	1887
