Date;Price;Open;High;Low;Vol.;Change %
2019-01-07 00:00:00;941,95;940;949,7;926,3;937240;0,0166
2019-01-14 00:00:00;965,66;952;973,5;941,3;3588750;-0,0123
2019-01-21 00:00:00;953,18;959,9;964;945,2;2415640;-0,005
2019-01-28 00:00:00;945,52;951,6;953;922,3;2897640;0,0016
2019-02-04 00:00:00;995,08;953,1;1030;947;5643560;0,014
2019-02-11 00:00:00;1025,48;1030;1039,8;1010,2;4013340;0,009
2019-02-18 00:00:00;1019,6;1033,6;1039,2;1001,6;2987270;-0,0109
2019-02-25 00:00:00;1006,12;1013,2;1029,8;990,4;3053710;0,0282
2019-03-04 00:00:00;1033,56;1029;1048,6;1019;3380100;0,0122
2019-03-11 00:00:00;1027,4;1041;1048;1011,2;1958240;0,0049
2019-03-18 00:00:00;1022,88;1025,8;1041;1004,4;4640690;-0,0025
2019-03-25 00:00:00;1014,48;1030,8;1038,4;1006,8;3081710;-0,0051
2019-04-01 00:00:00;1020,96;1011;1038;1004,4;2694390;0,0002
2019-04-08 00:00:00;1047,68;1031,6;1059,8;1028,4;2603800;-0,0002
2019-04-15 00:00:00;1035,84;1037;1052,4;1022,6;3089350;-0,0012
2019-04-22 00:00:00;1044,12;1039;1055;1032;2166170;0,0061
2019-04-29 00:00:00;1051,16;1052;1065,8;1035,2;2958680;-0,0013
2019-05-06 00:00:00;1046,6;1057,6;1061,2;1024;2320510;-0,0212
2019-05-13 00:00:00;1012,25;1032,2;1043,4;986,4;3485920;-0,0106
2019-05-20 00:00:00;976;993;1000;967;3709320;0,0055
2019-05-27 00:00:00;1000,12;985;1013,8;980;3320500;0,004
2019-06-03 00:00:00;1038,68;1003,6;1050,4;1001,8;4317720;0,0035
2019-06-10 00:00:00;1047,2;1038,4;1060;1030,6;3074650;0,0095
2019-06-17 00:00:00;1092,85;1060;1121,6;1057;5140000;-0,0548
2019-06-24 00:00:00;1088,96;1056;1101,8;1053,4;4227670;-0,0131
2019-07-01 00:00:00;1083,08;1082,4;1104;1065;2808040;0,003
2019-07-08 00:00:00;1067,24;1070;1082;1044;3218540;0,0135
2019-07-15 00:00:00;1058,6;1065;1080,4;1038;3053770;-0,0008
2019-07-22 00:00:00;1053,44;1043,2;1073;1040,2;2697440;0,0121
2019-07-29 00:00:00;1035,88;1056,2;1061,6;1022,4;2533020;0,0021
2019-08-05 00:00:00;1012,84;1032;1050;990,2;3506930;-0,0084
2019-08-12 00:00:00;981,12;996;1000,2;968,8;4731360;-0,001
2019-08-19 00:00:00;943,76;969,6;971,4;926;5612840;0,019
2019-08-26 00:00:00;949,72;946,2;964;937,2;3310280;0,0011
2019-09-02 00:00:00;979,32;949,4;1008,8;941,4;5217270;0,0002
2019-09-09 00:00:00;993,96;1003;1005;982,4;4474790;0,0054
2019-09-16 00:00:00;1011,92;999,8;1023,8;977,6;5628750;-0,0138
2019-09-23 00:00:00;974,44;999;1003,6;953,2;5444420;-0,0108
2019-09-30 00:00:00;943,12;956;965,4;933,2;4604750;-0,0119
2019-10-07 00:00:00;892,88;935;938,8;862,2;8360000;0,0036
2019-10-14 00:00:00;884,04;884,8;906,4;870,2;5376820;-0,0139
2019-10-21 00:00:00;880,88;876,8;898,2;864;7580000;-0,0114
2019-10-28 00:00:00;879,12;871;898,2;871;5625290;0,0087
2019-11-04 00:00:00;893,45;888;906,2;880,2;4231550;0,0125
2019-11-11 00:00:00;914,68;895,2;938,4;893,6;9250000;-0,0161
2019-11-18 00:00:00;887,2;898;904,2;875,2;6670000;0,0029
2019-11-25 00:00:00;904,4;887;919;884,4;6926850;0,0169
2019-12-02 00:00:00;904,32;914,8;920,8;878,6;7916480;-0,0253
2019-12-09 00:00:00;881,08;882;891,6;865;4631170;0,0097
2019-12-16 00:00:00;905,56;892;929,4;885;6098760;0,005
2019-12-23 00:00:00;928,68;924;930;914,6;4466890;0,0039
