Date;Price;Open;High;Low;Vol.;Change %
2019-01-07 00:00:00;43,175;43,17;43,62;42,55;9230000;0,0091
2019-01-14 00:00:00;44,696;43,43;45,76;42,58;42300000;-0,0138
2019-01-21 00:00:00;44,01;45,01;45,16;42,96;45960000;0,0065
2019-01-28 00:00:00;44,63;44,58;45,33;43,6;40540000;0,0024
2019-02-04 00:00:00;43,856;45;45,14;43,11;45620000;0,0025
2019-02-11 00:00:00;43,84;43,98;44,73;43,1;39000000;-0,0014
2019-02-18 00:00:00;42,992;43,3;44,2;41,86;50870000;-0,0058
2019-02-25 00:00:00;43,482;42,95;44,8;42,66;38780000;0,0205
2019-03-04 00:00:00;44,39;44,3;45,15;43,8;46060000;-0,0027
2019-03-11 00:00:00;43,74;43,96;44,41;43,1;21320000;0,0163
2019-03-18 00:00:00;45,288;44,45;46,39;44,05;63640000;0,0227
2019-03-25 00:00:00;45,152;46,15;46,46;44,2;32320000;0,0092
2019-04-01 00:00:00;45,362;45,14;46,19;44,62;26030000;0,0015
2019-04-08 00:00:00;45,192;45,77;45,94;44,62;19810000;0,0056
2019-04-15 00:00:00;44,406;45,18;45,27;43,71;25610000;-0,0103
2019-04-22 00:00:00;44,162;44,03;44,41;43,91;11705500;-0,0005
2019-04-29 00:00:00;44,166;44,22;44,5;43,74;13450000;-0,0076
2019-05-06 00:00:00;45,005;44,1;45,7;43,8;23140000;0,0099
2019-05-13 00:00:00;44,265;45,65;45,99;43,16;33800000;0,0044
2019-05-20 00:00:00;43,36;43,5;44,39;42,75;27820000;0,0284
2019-05-27 00:00:00;44,312;44,2;45,34;43,8;30810000;0,0073
2019-06-03 00:00:00;44,768;44,35;45,11;44,05;40680000;0,004
2019-06-10 00:00:00;45,112;44,97;45,6;44,25;44950000;-0,0035
2019-06-17 00:00:00;46,2775;45,3;47;45,15;46370000;-0,018
2019-06-24 00:00:00;45,706;45,9;47,02;44,44;48590000;0,0154
2019-07-01 00:00:00;45,316;45,26;46,13;44,67;28900000;0,0027
2019-07-08 00:00:00;44,736;45,41;45,41;43,79;51440000;0,0031
2019-07-15 00:00:00;44,478;44,74;45,15;44,11;27680000;-0,0056
2019-07-22 00:00:00;44,234;44,22;44,95;43,65;28910000;0,0063
2019-07-29 00:00:00;43,918;45;45;43,2;26600000;-0,0037
2019-08-05 00:00:00;41,738;43,52;43,52;39,31;73090000;-0,0072
2019-08-12 00:00:00;40,174;40,2;41,08;39,61;51020000;-0,006
2019-08-19 00:00:00;38,678;40;40,05;37,92;62640000;-0,0018
2019-08-26 00:00:00;38,636;38,24;39,33;37,64;41660000;0,0013
2019-09-02 00:00:00;40,746;38,96;42,03;38,96;54580000;-0,0155
2019-09-09 00:00:00;41,17;41,34;41,63;40,43;43030000;-0,0082
2019-09-16 00:00:00;41,538;41,14;42,2;40,91;48450000;0,0061
2019-09-23 00:00:00;40,966;41,4;41,56;40,2;35290000;-0,0039
2019-09-30 00:00:00;39,388;40,33;40,62;38,77;36050000;-0,001
2019-10-07 00:00:00;37,44;39,1;39,34;36,26;63000000;0
2019-10-14 00:00:00;37,014;37;38,24;36,38;60680000;-0,0263
2019-10-21 00:00:00;36,586;36,6;37,52;35,81;48550000;-0,0156
2019-10-28 00:00:00;36,208;36,05;36,99;35,19;52790000;0,0174
2019-11-04 00:00:00;36,95;36,2;38,02;36,06;55810000;0,0148
2019-11-11 00:00:00;38,34;37,1;39,66;36,98;60780000;-0,0127
2019-11-18 00:00:00;38,01;38,1;38,95;36,77;67040000;-0,0011
2019-11-25 00:00:00;38,336;37,9;38,97;37,77;40310000;0,0165
2019-12-02 00:00:00;38,948;38,9;39,44;38,26;55400000;0,0118
2019-12-09 00:00:00;38,666;39,4;39,42;37,8;61200000;0,0049
2019-12-16 00:00:00;40,51;39,16;41,9;38,69;85470000;-0,0022
2019-12-23 00:00:00;41,116;41,51;41,69;40,73;59560000;0,0078
2019-12-30 00:00:00;41,538;41,12;42,57;41;25080000;-0,004
2020-01-06 00:00:00;42,425;42,48;42,8;41,83;13780000;-0,0059
2020-01-13 00:00:00;43,245;42,15;44,61;41,91;69710000;0,0293
2020-01-20 00:00:00;45,68;43,33;48,92;43,29;120140000;0,0093
2020-01-27 00:00:00;45,174;47,3;47,38;44,05;77690000;-0,0232
2020-02-03 00:00:00;45,224;44,34;45,85;43,65;63560000;0,0053
2020-02-10 00:00:00;45,4;45,45;46,87;44,12;115240000;-0,0164
2020-02-17 00:00:00;45,534;44,56;46,15;44,51;72470000;-0,0061
2020-02-24 00:00:00;44,9175;45,45;45,56;44,59;37300000;-0,0033
