Date;Price;Open;High;Low;Vol.;Change %
2019-01-07 00:00:00;156,51;155,86;157,46;154,8;5810000;-0,0106
2019-01-14 00:00:00;152,948;150,98;155,08;149,64;14670000;-0,0148
2019-01-21 00:00:00;151,312;152,7;153,08;149,28;11960000;-0,0028
2019-01-28 00:00:00;148,864;151,7;151,72;144,74;18940000;0,0065
2019-02-04 00:00:00;154,292;149,84;158,8;147,5;22200000;0,0078
2019-02-11 00:00:00;158,572;158,06;161,18;156,26;15800000;0,0019
2019-02-18 00:00:00;155,844;157,9;159,1;153,68;13610000;-0,0151
2019-02-25 00:00:00;156,856;155;160,56;152,76;12250000;0,0059
2019-03-04 00:00:00;159,14;158,52;163,2;156,08;13810000;0,0273
2019-03-11 00:00:00;165,12;161,54;167,5;161,2;17740000;-0,0124
2019-03-18 00:00:00;167;163,96;171,2;162,28;16750000;0,0179
2019-03-25 00:00:00;167,572;170,7;171,52;165,1;16210000;-0,0066
2019-04-01 00:00:00;169,692;165,7;173,98;164,54;13690000;0,0122
2019-04-08 00:00:00;174,004;172,04;176,68;171,26;10890000;0,0031
2019-04-15 00:00:00;170,876;174,06;175,38;167,8;16500000;-0,0223
2019-04-22 00:00:00;173,248;169,16;174,96;168,7;6851800;0,0016
2019-04-29 00:00:00;171,512;175;176,3;169,2;16980000;-0,0197
2019-05-06 00:00:00;171,51;171,6;175,14;168;14500000;0,0051
2019-05-13 00:00:00;165,43;169,78;171;159,4;14050000;-0,0189
2019-05-20 00:00:00;157,996;159,26;161,34;156,1;13380000;0,0087
2019-05-27 00:00:00;162,632;158,38;165,48;157,26;16870000;0,0052
2019-06-03 00:00:00;172,096;165,12;173;164,94;20540000;0,0039
2019-06-10 00:00:00;172,436;173;174,62;169,6;10760000;0,0041
2019-06-17 00:00:00;181,305;173,62;185,42;172,96;20680000;-0,0066
2019-06-24 00:00:00;171,956;175;178,26;167,78;29060000;-0,0215
2019-07-01 00:00:00;165,432;168,04;172;158,6;47560000;-0,0044
2019-07-08 00:00:00;158,14;159,08;161,08;156,3;34770000;0,0108
2019-07-15 00:00:00;154,352;158,5;158,8;151,02;34480000;0,0143
2019-07-22 00:00:00;155,916;154;157,28;153,7;24360000;0,001
2019-07-29 00:00:00;153,616;156,44;156,98;149,84;18720000;-0,0021
2019-08-05 00:00:00;148,792;152;152;145;25920000;-0,0114
2019-08-12 00:00:00;144,044;145,54;146,8;141,56;20260000;0,0073
2019-08-19 00:00:00;140,144;143,5;143,5;138;25550000;0,0116
2019-08-26 00:00:00;141,308;140;143,2;139;18110000;-0,0018
2019-09-02 00:00:00;145,932;142,2;149,62;141,7;25760000;-0,0077
2019-09-09 00:00:00;145,82;147,7;149;143,02;27730000;0,016
2019-09-16 00:00:00;148,812;149,2;150,96;145,68;23090000;0,003
2019-09-23 00:00:00;145,584;148,68;150,36;142,1;36500000;-0,0159
2019-09-30 00:00:00;141,928;142,96;144,4;140,12;19620000;0,0017
2019-10-07 00:00:00;134,88;142,3;142,56;129,74;44270000;-0,0035
2019-10-14 00:00:00;129,924;131,96;133,14;127,16;28850000;-0,0075
2019-10-21 00:00:00;127,776;129,5;129,8;124,3;31810000;-0,0171
2019-10-28 00:00:00;125,1;126,6;127,46;122,16;33950000;0,0084
2019-11-04 00:00:00;126,97;124,94;129,2;124,26;26240000;0,0088
2019-11-11 00:00:00;130,684;127;133,7;126,74;36060000;-0,016
2019-11-18 00:00:00;127,56;128,7;130,1;125,8;24630000;0,0006
2019-11-25 00:00:00;128,408;126,96;131,1;126,12;23160000;0,0241
2019-12-02 00:00:00;129,044;130,34;133,26;126,9;35410000;0,0162
2019-12-09 00:00:00;130,908;131,82;133,58;127,6;34630000;-0,0012
