iter	MAE
0	3980.844157
1	3910.496042
2	3839.484592
3	3778.628419
4	3709.266877
5	3649.458305
6	3552.999234
7	3487.752313
8	3427.002728
9	3351.809432
10	3283.655687
11	3199.296487
12	3107.368777
13	3026.124166
14	2983.967837
15	2925.573134
16	2873.364835
17	2832.934948
18	2791.017691
19	2740.116608
20	2687.906662
21	2638.49492
22	2584.810958
23	2550.03939
24	2512.579675
25	2478.667458
26	2440.579631
27	2389.062335
28	2349.21405
29	2320.446589
30	2263.845536
31	2234.012431
32	2190.975119
33	2168.493688
34	2140.887811
35	2108.748382
36	2080.310057
37	2049.865247
38	2030.020183
39	2015.256492
40	1978.74895
41	1955.985889
42	1931.62666
43	1906.548019
44	1863.71766
45	1827.424341
46	1810.027218
47	1789.420057
48	1766.48497
49	1722.085744
50	1676.151115
51	1639.625089
52	1625.76438
53	1585.704399
54	1564.326393
55	1533.073296
56	1520.366636
57	1480.374567
58	1472.948679
59	1451.689999
60	1423.751427
61	1403.108414
62	1371.973742
63	1350.331839
64	1335.265241
65	1326.36385
66	1315.374318
67	1307.71358
68	1285.442584
69	1266.443649
70	1244.474998
71	1221.790007
72	1204.192723
73	1190.569589
74	1183.070739
75	1168.786726
76	1163.334784
77	1150.621583
78	1135.725963
79	1128.015283
80	1119.166839
81	1111.05523
82	1092.034175
83	1069.221906
84	1062.817781
85	1044.326636
86	1025.916167
87	1008.966417
88	1004.800662
89	992.6584481
90	984.5914545
91	970.9075633
92	957.4471165
93	952.6417709
94	934.9692688
95	922.4886595
96	911.4013595
97	908.0322207
98	898.9356233
99	893.2702754
100	887.7264574
101	877.3099255
102	867.5871926
103	864.2888286
104	859.7235851
105	844.5220252
106	832.4363262
107	829.2729264
108	815.5174161
109	809.5649243
110	805.0135003
111	802.9193059
112	800.0971259
113	787.5461665
114	782.7655703
115	779.9353332
116	771.54762
117	769.6979015
118	767.3790686
119	762.2245567
120	759.1029615
121	753.6019207
122	751.4943251
123	747.0082958
124	744.5994932
125	738.6384952
126	735.3618539
127	725.7416667
128	724.1651563
129	721.6426223
130	713.6954185
131	710.5986852
132	707.9405907
133	704.669526
134	703.3756893
135	702.5293965
136	694.2875564
137	683.0085105
138	678.4638437
139	676.0077734
140	674.6673507
141	667.1380633
142	661.1860681
143	657.2260439
144	656.2292813
145	653.7595441
146	650.5480566
147	646.560257
148	640.4398893
149	633.4968724
150	622.7035079
151	615.0189879
152	607.5246813
153	604.1446757
154	602.3827136
155	595.6448339
156	590.0295156
157	586.7385991
158	581.8765972
159	580.4641908
160	578.6141565
161	572.408198
162	570.2262582
163	566.183963
164	564.1530168
165	563.0084829
166	560.9598239
167	552.3562366
168	550.2849662
169	544.2565771
170	542.2099704
171	536.6283418
172	532.9360027
173	530.4928566
174	522.213555
175	517.3806319
176	510.9519981
177	504.0063807
178	503.1457049
179	502.1884027
180	500.4436688
181	496.9259288
182	495.7061339
183	494.4421287
184	493.1195949
185	490.3996295
186	486.7689634
187	484.4705595
188	480.4146137
189	478.911895
190	473.710077
191	471.6391598
192	468.352733
193	462.2139832
194	458.5960154
195	457.8036479
196	452.3055502
197	450.3998961
198	448.429855
199	445.3505288
200	443.6084597
201	437.2022689
202	434.8262661
203	433.1912417
204	430.4110813
205	428.7096741
206	427.5344115
207	424.2507196
208	419.2948134
209	414.6745145
210	413.3875385
211	412.3758426
212	410.4046707
213	409.1784247
214	404.4505464
215	400.0235438
216	399.3235391
217	392.9351879
218	388.5727543
219	384.0603782
220	380.8722331
221	379.3557175
222	376.9003458
223	374.7599504
224	372.8367932
225	372.1976521
226	369.1200757
227	367.8435586
228	366.6653748
229	366.2219084
230	365.250528
231	361.4698161
232	359.3343932
233	357.221431
234	354.7241129
235	352.878335
236	351.578146
237	350.4521462
238	349.0352429
239	348.0538505
240	347.1456059
241	346.4483731
242	345.2800347
243	342.8434531
244	340.6172711
245	338.7217681
246	336.2455658
247	332.1336756
248	330.0573357
249	328.5313936
250	327.5207624
251	327.0589846
252	325.9535908
253	325.537736
254	324.7009773
255	324.0249837
256	323.4421632
257	320.2029765
258	319.4659303
259	318.3113817
260	316.7631467
261	314.1240969
262	310.2262704
263	309.6419947
