iter	Passed	Remaining
0	319	478576
1	584	437991
2	876	437317
3	1207	451722
4	1507	450646
5	1832	456246
6	2112	450497
7	2381	444174
8	2670	442369
9	3021	450192
10	3292	445624
11	3593	445539
12	3923	448764
13	4208	446733
14	4519	447450
15	4846	449496
16	5126	447184
17	5454	449107
18	5755	448644
19	6086	450406
20	6374	448954
21	6730	452186
22	7069	453971
23	7349	451992
24	7659	451930
25	7955	451027
26	8257	450496
27	8554	449717
28	8900	451469
29	9246	453101
30	9569	453492
31	9924	455265
32	10223	454464
33	10523	453741
34	10822	452993
35	11119	452175
36	11432	452045
37	11750	452083
38	12032	450768
39	12286	448460
40	12569	447286
41	12903	447924
42	13285	450155
43	13570	449060
44	13928	450358
45	14249	450422
46	14523	449002
47	14907	450947
48	15235	451170
49	15573	451642
50	15869	450867
51	16200	451119
52	16471	449693
53	16731	448037
54	16969	445839
55	17273	445410
56	17583	445151
57	17899	445021
58	18205	444634
59	18503	444078
60	18850	444687
61	19178	444816
62	19493	444643
63	19797	444197
64	20160	445074
65	20526	445977
66	20959	448277
67	21269	447902
68	21580	447559
69	21888	447145
70	22248	447791
71	22587	447993
72	22956	448745
73	23281	448640
74	23627	448924
75	23951	448775
76	24254	448236
77	24561	447779
78	24927	448385
79	25255	448282
80	25520	447081
81	25865	447291
82	26194	447195
83	26531	447250
84	26848	446950
85	27150	446410
86	27504	446708
87	27815	446309
88	28202	447125
89	28499	446497
90	28825	446327
91	29121	445683
92	29487	446114
93	29816	445981
94	30164	446118
95	30483	445818
96	30855	446292
97	31223	446692
98	31622	447499
99	31952	447334
100	32289	447255
101	32635	447304
102	32974	447234
103	33275	446665
104	33587	446230
105	33918	446065
106	34294	446467
107	34630	446343
108	35004	446709
109	35429	447696
110	35755	447428
111	36158	448108
112	36465	447589
113	36830	447776
114	37167	447623
115	37515	447601
116	37884	447812
117	38215	447578
118	38591	447860
119	38920	447584
120	39203	446795
121	39562	446866
122	39945	447199
123	40335	447588
124	40704	447750
125	41080	447968
126	41411	447696
127	41697	446942
128	42054	446954
129	42358	446394
130	42717	446409
131	43049	446150
132	43354	445603
133	43732	445812
134	44072	445620
135	44362	444931
136	44724	444961
137	45117	445288
138	45449	445014
139	45798	444902
140	46114	444461
141	46453	444251
142	46807	444184
143	47184	444318
144	47528	444144
145	47946	444658
146	48294	444508
147	48731	445166
148	49141	445568
149	49466	445197
150	49788	444797
151	50194	445145
152	50543	444978
153	50921	445063
154	51223	444487
155	51524	443901
156	51865	443668
157	52167	443095
158	52478	442598
159	52815	442331
160	53132	441890
161	53414	441164
162	53740	440805
163	54075	440521
164	54395	440107
165	54738	439886
166	55053	439440
167	55382	439106
168	55696	438653
169	56068	438656
170	56477	438939
171	56764	438277
172	57119	438135
173	57474	437994
174	57810	437708
175	58201	437831
176	58552	437655
177	58902	437469
178	59266	437378
179	59683	437678
180	60050	437605
181	60389	437325
182	60758	437261
183	61082	436873
184	61417	436564
185	61750	436240
186	62031	435545
187	62388	435393
188	62681	434787
189	63061	434793
190	63389	434433
191	63754	434327
192	64088	434008
193	64484	434103
194	64852	434011
195	65204	433806
196	65562	433645
197	65959	433733
198	66300	433453
199	66588	432826
200	66964	432768
201	67300	432454
202	67681	432431
203	68045	432286
204	68367	431881
205	68659	431285
206	69017	431110
207	69351	430779
208	69682	430431
209	70065	430405
210	70403	430092
211	70797	430129
212	71164	429992
213	71514	429754
214	71901	429738
215	72227	429353
216	72546	428926
217	72941	428950
218	73288	428687
219	73671	428634
220	74022	428393
221	74381	428198
222	74790	428286
223	75206	428408
224	75618	428506
225	75928	428019
226	76225	427468
227	76566	427160
228	76976	427237
229	77268	426656
230	77603	426314
231	77958	426083
232	78357	426090
233	78667	425610
234	79071	425642
235	79442	425486
236	79867	425621
237	80252	425540
238	80631	425423
239	80976	425129
240	81315	424798
241	81667	424536
242	82067	424522
243	82388	424097
244	82760	423938
245	83150	423862
246	83567	423928
247	83959	423858
248	84317	423618
249	84635	423179
250	85052	423227
251	85388	422878
252	85792	422859
253	86065	422194
254	86441	422036
255	86831	421948
256	87155	421532
257	87453	420998
258	87886	421106
259	88247	420870
260	88636	420769
261	89066	420857
262	89400	420490
263	89771	420295
