Date;CHMF_Price;CHMF_Open;CHMF_High;CHMF_Low;CHMF_Vol.;CHMF_Change %;MAGN_Price;MAGN_Open;MAGN_High;MAGN_Low;MAGN_Vol.;MAGN_Change %;NLMK_Price;NLMK_Open;NLMK_High;NLMK_Low;NLMK_Vol.;NLMK_Change %
07.01.2019 0:00;941.95;940;949.7;926.3;937240;0.0166;43.175;43.17;43.62;42.55;9230000;0.0091;156.51;155.86;157.46;154.8;5810000;-0.0106
14.01.2019 0:00;965.66;952;973.5;941.3;3588750;-0.0123;44.696;43.43;45.76;42.58;42300000;-0.0138;152.948;150.98;155.08;149.64;14670000;-0.0148
21.01.2019 0:00;953.18;959.9;964;945.2;2415640;-0.005;44.01;45.01;45.16;42.96;45960000;0.0065;151.312;152.7;153.08;149.28;11960000;-0.0028
28.01.2019 0:00;945.52;951.6;953;922.3;2897640;0.0016;44.63;44.58;45.33;43.6;40540000;0.0024;148.864;151.7;151.72;144.74;18940000;0.0065
04.02.2019 0:00;995.08;953.1;1030;947;5643560;0.014;43.856;45;45.14;43.11;45620000;0.0025;154.292;149.84;158.8;147.5;22200000;0.0078
11.02.2019 0:00;1025.48;1030;1039.8;1010.2;4013340;0.009;43.84;43.98;44.73;43.1;39000000;-0.0014;158.572;158.06;161.18;156.26;15800000;0.0019
18.02.2019 0:00;1019.6;1033.6;1039.2;1001.6;2987270;-0.0109;42.992;43.3;44.2;41.86;50870000;-0.0058;155.844;157.9;159.1;153.68;13610000;-0.0151
25.02.2019 0:00;1006.12;1013.2;1029.8;990.4;3053710;0.0282;43.482;42.95;44.8;42.66;38780000;0.0205;156.856;155;160.56;152.76;12250000;0.0059
04.03.2019 0:00;1033.56;1029;1048.6;1019;3380100;0.0122;44.39;44.3;45.15;43.8;46060000;-0.0027;159.14;158.52;163.2;156.08;13810000;0.0273
11.03.2019 0:00;1027.4;1041;1048;1011.2;1958240;0.0049;43.74;43.96;44.41;43.1;21320000;0.0163;165.12;161.54;167.5;161.2;17740000;-0.0124
18.03.2019 0:00;1022.88;1025.8;1041;1004.4;4640690;-0.0025;45.288;44.45;46.39;44.05;63640000;0.0227;167;163.96;171.2;162.28;16750000;0.0179
25.03.2019 0:00;1014.48;1030.8;1038.4;1006.8;3081710;-0.0051;45.152;46.15;46.46;44.2;32320000;0.0092;167.572;170.7;171.52;165.1;16210000;-0.0066
01.04.2019 0:00;1020.96;1011;1038;1004.4;2694390;0.0002;45.362;45.14;46.19;44.62;26030000;0.0015;169.692;165.7;173.98;164.54;13690000;0.0122
08.04.2019 0:00;1047.68;1031.6;1059.8;1028.4;2603800;-0.0002;45.192;45.77;45.94;44.62;19810000;0.0056;174.004;172.04;176.68;171.26;10890000;0.0031
15.04.2019 0:00;1035.84;1037;1052.4;1022.6;3089350;-0.0012;44.406;45.18;45.27;43.71;25610000;-0.0103;170.876;174.06;175.38;167.8;16500000;-0.0223
22.04.2019 0:00;1044.12;1039;1055;1032;2166170;0.0061;44.162;44.03;44.41;43.91;11705500;-0.0005;173.248;169.16;174.96;168.7;6851800;0.0016
29.04.2019 0:00;1051.16;1052;1065.8;1035.2;2958680;-0.0013;44.166;44.22;44.5;43.74;13450000;-0.0076;171.512;175;176.3;169.2;16980000;-0.0197
06.05.2019 0:00;1046.6;1057.6;1061.2;1024;2320510;-0.0212;45.005;44.1;45.7;43.8;23140000;0.0099;171.51;171.6;175.14;168;14500000;0.0051
13.05.2019 0:00;1012.25;1032.2;1043.4;986.4;3485920;-0.0106;44.265;45.65;45.99;43.16;33800000;0.0044;165.43;169.78;171;159.4;14050000;-0.0189
20.05.2019 0:00;976;993;1000;967;3709320;0.0055;43.36;43.5;44.39;42.75;27820000;0.0284;157.996;159.26;161.34;156.1;13380000;0.0087
27.05.2019 0:00;1000.12;985;1013.8;980;3320500;0.004;44.312;44.2;45.34;43.8;30810000;0.0073;162.632;158.38;165.48;157.26;16870000;0.0052
03.06.2019 0:00;1038.68;1003.6;1050.4;1001.8;4317720;0.0035;44.768;44.35;45.11;44.05;40680000;0.004;172.096;165.12;173;164.94;20540000;0.0039
10.06.2019 0:00;1047.2;1038.4;1060;1030.6;3074650;0.0095;45.112;44.97;45.6;44.25;44950000;-0.0035;172.436;173;174.62;169.6;10760000;0.0041
17.06.2019 0:00;1092.85;1060;1121.6;1057;5140000;-0.0548;46.2775;45.3;47;45.15;46370000;-0.018;181.305;173.62;185.42;172.96;20680000;-0.0066
24.06.2019 0:00;1088.96;1056;1101.8;1053.4;4227670;-0.0131;45.706;45.9;47.02;44.44;48590000;0.0154;171.956;175;178.26;167.78;29060000;-0.0215
01.07.2019 0:00;1083.08;1082.4;1104;1065;2808040;0.003;45.316;45.26;46.13;44.67;28900000;0.0027;165.432;168.04;172;158.6;47560000;-0.0044
08.07.2019 0:00;1067.24;1070;1082;1044;3218540;0.0135;44.736;45.41;45.41;43.79;51440000;0.0031;158.14;159.08;161.08;156.3;34770000;0.0108
15.07.2019 0:00;1058.6;1065;1080.4;1038;3053770;-0.0008;44.478;44.74;45.15;44.11;27680000;-0.0056;154.352;158.5;158.8;151.02;34480000;0.0143
22.07.2019 0:00;1053.44;1043.2;1073;1040.2;2697440;0.0121;44.234;44.22;44.95;43.65;28910000;0.0063;155.916;154;157.28;153.7;24360000;0.001
29.07.2019 0:00;1035.88;1056.2;1061.6;1022.4;2533020;0.0021;43.918;45;45;43.2;26600000;-0.0037;153.616;156.44;156.98;149.84;18720000;-0.0021
05.08.2019 0:00;1012.84;1032;1050;990.2;3506930;-0.0084;41.738;43.52;43.52;39.31;73090000;-0.0072;148.792;152;152;145;25920000;-0.0114
12.08.2019 0:00;981.12;996;1000.2;968.8;4731360;-0.001;40.174;40.2;41.08;39.61;51020000;-0.006;144.044;145.54;146.8;141.56;20260000;0.0073
